,W3_1H_A165,W3_1H_R166,W3_24H_A167,W3_24H_R168,W3_6H_A169,W3_6H_R170,W3_D14_A171,W3_D14_R172,W3_D3_A173,W3_D3_R174,W3_D7_A175,W3_D7_R176,W3_PRE_A177,W3_PRE_R178,W5_1H_A179,W5_1H_R180,W5_24H_A181,W5_24H_R182,W5_6H_A183,W5_6H_R184,W5_D10_A185,W5_D10_R186,W5_D14_A187,W5_D14_R188,W5_D3_A189,W5_D3_R190,W5_D7_A191,W5_D7_R192,W5_PRE_A193,W5_PRE_R194,W3_1H_A201,W3_1H_R202,W3_24H_A203,W3_24H_R204,W3_6H_A205,W3_6H_R206,W3_D14_R207,W3_PRE_A208,W3_PRE_R209,W4_1H_A210,W4_1H_R211,W4_24H_A212,W4_24H_R213,W4_6H_A214,W4_6H_R215,W4_D10_A216,W4_D10_R217,W4_D14_A218,W4_D14_R219,W4_D3_A220,W4_D3_R221,W4_D7_A222,W4_D7_R223,W4_PRE_A224,W4_PRE_R225,W5_1H_A226,W5_1H_R227,W5_24H_A228,W5_24H_R229,W5_6H_A230,W5_6H_R231,W5_PRE_A232,W5_PRE_R233,W6_1H_R234,W6_24H_A235,W6_24H_R236,W6_6H_A237,W6_6H_R238,W6_D3_A239,W6_D3_R240,W6_D7_A241,W6_D7_R242,W6_D10_A243,W6_D10_R244,W6_D14_A245,W6_D14_R246,W6_PRE_A247,W6_PRE_R248,W7_1H_A249,W7_1H_R250,W7_24H_A251,W7_24H_R252,W7_6H_A253,W7_6H_R254,W7_D10_A255,W7_D10_R256,W7_D14_A257,W7_D14_R258,W7_D7_A259,W7_D7_R260,W7_PRE_A261,W7_PRE_R262,W8_1H_A263,W8_1H_R264,W8_24H_A265,W8_24H_R266,W8_6H_A267,W8_6H_R268,W8_D10_A269,W8_D10_R270,W8_D14_A271,W8_D14_R272,W8_D3_A273,W8_D3_R274,W8_D7_A275,W8_D7_R276,W8_PRE_A277,W8_PRE_R278,W9_1H_A279,W9_1H_R280,W9_24H_A281,W9_24H_R282,W9_6H_A283,W9_6H_R284,W9_D10_A285,W9_D10_R286,W9_D14_A287,W9_D14_R288,W9_D3_A289,W9_D3_R290,W9_D7_A291,W9_D7_R292,W9_PRE_A293,W9_PRE_R294,W10_PRE_R307,W10_D3_R308,W10_D10_R309,W10_D14_R310,W11_PRE_A311,W11_1H_A312,W11_6H_A313,W11_24H_A314,W11_D3_A315,W11_D7_A316,W11_D10_A317,W11_D14_A318,W12_PRE_R319,W12_1H_R320,W12_6H_R321,W12_24H_R322,W12_D3_R323,W12_D7_R324,W12_D10_R325,W12_D14_R326
ssc-miR-320,257,126,20,2047,791,102,6,0,33,1546,27,29,301,30,5,6,8,18,13,12,41,44,21,13,140,11,29,2,2,1,83,7,13,394,224,22,0,123,13,275,69,64,51,30,22,105,89,14,0,0,105,3,91,20,12,3,0,9,9,3,0,0,0,14,99,22,157,29,24,91,258,54,63,6,28,62,47,117,19,0,7,13,117,226,15,4,84,131,71,116,61,2,76,65,18,54,68,25,34,106,24,80,65,93,29,90,5,11,24,23,7,56,5,5,103,148,27,0,61,42,306,49,0,0,8647,604,256,323,98,687,1034,197,353,1855,239,42,2076,3781,2758,46,4612,2648,32,25
ssc-miR-106a,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,19,8,3,1,1,0,11,1,2,1,0,0,2,0,0,0,0,0,0,0
ssc-miR-2483,0,3,1,18,16,0,0,0,0,46,0,1,2,0,0,2,0,0,0,1,0,1,2,1,3,0,0,0,0,2,0,1,1,6,3,0,0,2,0,0,3,0,0,0,1,2,6,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,1,2,0,1,0,2,0,0,1,0,1,0,0,1,1,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,6,5,1,0,0,0,7,1,0,0,177,28,13,9,0,7,15,6,5,29,3,2,28,69,57,0,65,50,0,3
ssc-miR-451,15,70,4,402,488,19,0,0,10,2991,6,1,44,3,4,2,2,1,0,3,1,1,1,0,5,1,2,0,3,0,6,7,1,72,153,6,0,19,1,4,4,1,0,1,2,4,37,5,0,0,5,5,1,2,5,0,0,3,1,0,1,1,0,6,11,2,17,10,9,7,2,8,5,0,3,4,5,32,2,0,0,3,5,52,20,9,25,7,11,11,15,0,10,14,4,8,7,2,3,5,12,15,9,16,2,10,0,0,16,6,3,13,3,7,27,113,2,2,5,3,21,14,0,0,595,188,90,749,2224,2,649,215,567,6,2,0,40,82,60,0,126,9,1,1
ssc-miR-148a-5p,2,2,0,38,58,0,0,0,1,45,0,0,4,0,0,3,0,0,0,1,3,0,0,0,2,0,4,0,0,0,1,0,0,14,16,0,0,1,0,1,2,0,0,6,3,0,5,0,0,0,3,0,5,5,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,0,6,2,1,0,2,6,1,3,0,0,0,0,2,0,0,0,1,3,2,2,0,0,0,0,1,1,0,1,2,2,0,0,3,1,0,2,0,0,3,0,0,0,0,0,7,20,1,0,0,0,6,0,0,0,204,8,0,2,0,5,23,4,0,11,1,1,29,82,52,0,114,32,0,1
ssc-miR-499-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ssc-miR-181c,9,20,2,150,157,3,2,0,2,149,2,2,13,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,1,29,44,0,0,5,0,1,0,3,1,0,0,0,7,1,0,0,7,0,5,0,0,0,0,0,0,0,1,0,0,2,1,0,3,4,2,2,8,1,3,0,1,3,1,5,1,0,0,0,0,3,2,0,1,1,3,5,2,0,0,2,1,0,2,1,0,3,0,1,0,2,0,0,0,0,5,1,0,0,0,0,1,14,0,0,0,0,8,1,0,0,477,50,38,38,13,8,326,38,72,26,3,0,40,90,73,0,132,67,1,0
ssc-miR-181a,28,53,3,560,710,10,1,0,7,1141,7,4,164,10,5,2,4,6,38,7,4,11,3,4,20,1,6,0,0,0,11,2,8,140,219,1,0,69,1,16,15,3,20,4,11,26,135,0,0,0,25,2,21,9,8,5,0,4,5,16,1,0,0,1,19,2,11,3,8,11,83,14,27,3,18,24,6,32,1,2,4,2,20,31,2,3,13,42,11,15,13,0,11,12,6,8,12,4,3,12,11,5,21,11,5,12,0,1,8,1,18,8,0,4,29,78,11,0,13,10,173,8,0,0,2483,180,292,117,20,144,584,51,91,318,48,11,629,1149,389,3,2060,613,9,1
ssc-miR-181b,22,28,2,167,195,3,1,0,1,247,2,0,35,7,3,1,0,3,4,1,1,5,0,5,4,0,3,0,0,2,7,2,2,25,58,2,0,15,1,13,8,2,8,4,2,13,38,3,0,0,22,0,22,8,0,1,1,0,2,1,0,0,0,3,5,2,10,2,3,7,46,11,22,4,6,21,5,27,1,0,2,0,7,24,0,2,15,11,9,5,6,1,11,11,4,2,5,1,6,7,2,3,3,8,6,4,0,1,5,1,5,4,0,3,6,39,5,0,5,8,64,4,0,0,1723,135,66,70,5,37,235,21,42,116,17,5,138,332,168,0,446,197,3,4
ssc-miR-181d-5p,2,9,0,103,82,6,0,0,2,131,1,5,17,0,2,0,0,2,1,1,1,1,0,1,5,0,2,0,0,0,0,0,0,31,30,4,0,19,0,7,1,0,5,0,0,14,32,5,0,0,16,0,1,0,4,0,0,0,1,1,1,0,0,1,8,4,6,4,6,2,20,0,5,1,2,5,2,11,0,0,0,0,8,7,0,0,1,7,8,6,5,1,4,4,2,4,1,4,0,9,2,0,0,2,2,2,0,0,2,1,6,0,0,1,3,22,3,0,1,6,41,2,0,0,1027,77,20,25,3,18,355,23,50,30,2,0,54,165,81,0,124,71,0,3
